Time (Hours),R.S.19 Carbon Neg. Control,R.S.19 Propionic Acid,R.S.19 L-Glutamate,R.S.19 D-Glucose,R.S.19 Potasium Sorbate,R.S.19 Lactulose,R.S.19 Glycerol,R.S.19 Myo-Inositol,R.S.19 D-Serine,R.S.19 D-Galactose,R.S.19 Oxalate,R.S.19 Malate,R.S.19 L-Methionine,R.S.19 Glycine,R.S.19 Quinic Acid,R.S.19 Sodium Succinate,R.S.19 Dulcitol,R.S.19 Alpha-D-Glucose,R.S.19 L-Xylose,R.S.19 L-Aspartate,R.S.19 D-Fructose,R.S.19 L-Valine,R.S.19 Sodium Pyruvate,R.S.19 Lactate,R.S.19 Citrate,R.S.19 D-Mannose,R.S.19 L-Serine,R.S.19 D-Salicin,R.S.19 D-Cellubiose,R.S.19 Adonitol,R.S.19 D-Glucose-6-phosphate,R.S.19 L-Sorbose,R.S.19 D-Arabitol,R.S.19 L-Lysine,R.S.19 D-Trehalose,R.S.19 Acetate,R.S.19 L-Alanine,R.S.19 L-Arabinose,R.S.19 L-Threonine,R.S.19 4 Hydroxy-Phenylacetate,R.S.19 D-Ribose,R.S.19 Alpha-D-Melebiose,R.S.19 D-Alanine,R.S.19 L-Fucose,R.S.19 L-Asparagine,R.S.19 L-Leucine,R.S.19 D-Aspartate,R.S.19 Inosine,R.S.19 Thymidine,R.S.19 Sucrose,R.S.19 D-Xylose,R.S.19 L-Cysteine,R.S.19 Alpha-D-Lactose,R.S.19 D-Raffinose,R.S.19 D-Asparagine,R.S.19 i-Erythritol,R.S.19 D-Cysteine,R.S.19 L-Isoleucine,R.S.19 L-Cysteate,R.S.19 Adenosine,R.S.19 Xylitol,R.S.19 L-Glutamine,R.S.19 L-Rhamnose,R.S.19 Putrescine,R.S.19 2-Deoxy-D-Ribose,R.S.19 L-Arabitol,R.S.19 D-Glucosamine,R.S.19 L-Phenylalanine,R.S.19 D-Glutamate,R.S.19 D-Arabinose,R.S.19 L-Tryptophan,R.S.19 L-Pyro-Glutamate,R.S.19 Nitrogen Neg. Control,R.S.19 Tyramine,R.S.19 Uridine,R.S.19 Inosine,R.S.19 Histamine,R.S.19 L-Pyro-Glutamate,R.S.19 Cytidine,R.S.19 Adenosine,R.S.19 L-Arginine,R.S.19 Thiourea,R.S.19 Biuret,R.S.19 Guanidine,R.S.19 L-Histidine,R.S.19 Thymine,R.S.19 L-Glutathione,R.S.19 Allantoin,R.S.19 Adenine,R.S.19 Glycine,R.S.19 Beta-Phenylethylamine,R.S.19 L-Proline,R.S.19 D-Methionine,R.S.19 Cytosine,R.S.19 D-Valine,R.S.19 N-Acetyl-D-Glucosamine
5,0.141542,0.144285,0.149809,0.1301,0.158217,0.142933,0.152432,0.152541,0.149778,0.151861,0.135518,0.123126,0.14248,0.135948,0.133689,0.142334,0.135253,0.14295,0.112781,0.138192,0.143682,0.0997983,0.133315,0.136121,0.137967,0.13467,0.146076,0.137974,0.134968,0.133941,0.138461,0.140618,0.14486,0.151672,0.141144,0.130055,0.134039,0.138446,0.129318,0.123622,0.132601,0.139691,0.14386,0.138141,0.16246,0.141068,0.137299,0.153118,0.137585,0.142914,0.140683,0.139548,0.131649,0.134995,0.139761,0.133039,0.134529,0.144676,0.146325,0.143651,0.14686,0.161892,0.144055,0.135483,0.141019,0.134832,0.146923,0.141176,0.14113,0.153462,0.157045,0.162498,0.147731,0.163341,0.156083,0.150284,0.130232,0.150588,0.148362,0.153533,0.170347,0.15626,0.167685,0.148286,0.144735,0.146363,0.150396,0.145464,0.141125,0.149951,0.142766,0.16931,0.146923,0.164055,0.159135,0.16837
5.5,0.143838,0.15521,0.161495,0.134162,0.169213,0.147929,0.158994,0.162694,0.160169,0.158424,0.137315,0.127012,0.154586,0.134985,0.134323,0.146915,0.140918,0.149486,0.114487,0.142529,0.15132,0.10051,0.142303,0.142453,0.13617,0.136495,0.146718,0.139437,0.13721,0.137743,0.144064,0.145064,0.152029,0.162497,0.149779,0.135726,0.137077,0.140202,0.131017,0.126476,0.133602,0.147369,0.153672,0.142888,0.174767,0.148144,0.140496,0.159987,0.139403,0.144773,0.141822,0.140542,0.134551,0.137949,0.144266,0.13806,0.13644,0.148595,0.151104,0.148293,0.149015,0.164694,0.145648,0.13715,0.144202,0.136427,0.149722,0.145189,0.143608,0.158944,0.165652,0.170157,0.150557,0.167237,0.156976,0.152538,0.13234,0.153627,0.152269,0.158527,0.182037,0.161089,0.175521,0.154208,0.145314,0.151646,0.154124,0.149616,0.146556,0.15843,0.146772,0.180404,0.153317,0.174452,0.168194,0.178098
6,0.144863,0.166654,0.175945,0.146114,0.184595,0.161868,0.170254,0.172057,0.167264,0.162816,0.136211,0.126344,0.165712,0.135145,0.135618,0.154874,0.151249,0.157914,0.114681,0.145349,0.159184,0.101974,0.14969,0.149185,0.135392,0.136224,0.148339,0.14334,0.143149,0.145281,0.149913,0.149673,0.159892,0.172015,0.157627,0.142262,0.147418,0.142445,0.132344,0.128317,0.136155,0.155678,0.162292,0.149004,0.187746,0.154842,0.144859,0.167714,0.145384,0.147853,0.1439,0.14251,0.13844,0.142793,0.151145,0.144919,0.139606,0.156993,0.154168,0.153389,0.151208,0.170115,0.149254,0.138643,0.150216,0.137461,0.153136,0.152918,0.147331,0.166265,0.174599,0.178747,0.154106,0.173605,0.162246,0.157126,0.134907,0.158214,0.158427,0.166946,0.196967,0.166993,0.183131,0.160847,0.152589,0.159015,0.1605,0.15645,0.155854,0.168251,0.152505,0.194031,0.162084,0.184452,0.177921,0.18934
6.5,0.149224,0.171674,0.188152,0.157486,0.194974,0.172551,0.180958,0.181246,0.17719,0.169785,0.137486,0.127859,0.176161,0.13658,0.136611,0.161173,0.161773,0.167104,0.116241,0.149331,0.167212,0.102093,0.157937,0.155328,0.135913,0.140152,0.148697,0.148378,0.148105,0.152508,0.155689,0.154294,0.166878,0.180846,0.165506,0.148361,0.159018,0.14333,0.133255,0.130057,0.138062,0.16394,0.171933,0.15557,0.198448,0.161856,0.149018,0.175162,0.150254,0.150745,0.143869,0.143478,0.142033,0.14725,0.158095,0.151501,0.142035,0.162861,0.156579,0.158415,0.151343,0.172403,0.150527,0.13879,0.155838,0.140253,0.156784,0.161039,0.149547,0.173077,0.180808,0.186432,0.156104,0.177929,0.164211,0.159379,0.136315,0.162995,0.164756,0.174521,0.21023,0.171337,0.189884,0.166519,0.161469,0.166248,0.16551,0.162005,0.16667,0.173609,0.157702,0.20764,0.172112,0.193736,0.186593,0.197769
7,0.158829,0.176559,0.201517,0.1723,0.21151,0.189231,0.197245,0.194496,0.189622,0.179631,0.138849,0.129216,0.185785,0.142988,0.137205,0.169514,0.175361,0.179574,0.118739,0.156076,0.176903,0.101834,0.166659,0.161235,0.133545,0.149403,0.153491,0.155888,0.157852,0.163777,0.163161,0.157992,0.175588,0.188933,0.174804,0.15392,0.17438,0.149182,0.136979,0.133344,0.141925,0.172301,0.182775,0.163948,0.205977,0.169204,0.154267,0.183655,0.159886,0.157075,0.144635,0.147301,0.14962,0.154032,0.166231,0.159056,0.143875,0.169827,0.159893,0.164375,0.155066,0.178068,0.152841,0.1397,0.165534,0.144176,0.160766,0.170673,0.152314,0.175214,0.187474,0.194363,0.165999,0.18302,0.170758,0.166012,0.140148,0.170545,0.174166,0.184641,0.224187,0.177719,0.198534,0.172255,0.178113,0.179555,0.178531,0.173793,0.179306,0.173364,0.16435,0.219436,0.183282,0.203923,0.197877,0.206556
7.5,0.171926,0.180101,0.211431,0.186418,0.22684,0.200159,0.207991,0.201407,0.197597,0.188592,0.139435,0.130003,0.192965,0.156651,0.139141,0.17685,0.188255,0.191437,0.120649,0.163753,0.186697,0.103758,0.175181,0.166616,0.134308,0.162777,0.162314,0.166388,0.168469,0.174673,0.170907,0.164412,0.184085,0.195303,0.183787,0.159597,0.188275,0.158364,0.147461,0.140466,0.149675,0.180409,0.191447,0.174004,0.210953,0.17713,0.159027,0.189219,0.167894,0.165651,0.148784,0.15465,0.158056,0.162062,0.175513,0.167284,0.148143,0.177711,0.164059,0.170411,0.165143,0.185103,0.155319,0.141861,0.17615,0.150902,0.167716,0.182731,0.157458,0.184052,0.194972,0.201875,0.180575,0.187925,0.179681,0.174109,0.14465,0.179558,0.184098,0.19515,0.238293,0.18523,0.207873,0.177317,0.193971,0.192393,0.194387,0.184702,0.190974,0.171255,0.17096,0.231093,0.193831,0.21515,0.207908,0.212086
8,0.185948,0.180952,0.218561,0.196832,0.241403,0.208291,0.21813,0.207758,0.206396,0.197262,0.140991,0.131101,0.197197,0.171522,0.144663,0.185542,0.199871,0.203577,0.124712,0.17264,0.197257,0.1065,0.183425,0.172033,0.134924,0.17761,0.178045,0.177824,0.179438,0.185315,0.178406,0.173518,0.193207,0.201356,0.194038,0.164737,0.201924,0.172051,0.163006,0.151012,0.159086,0.187833,0.199308,0.1835,0.20875,0.184664,0.165634,0.1973,0.176843,0.177302,0.157536,0.16578,0.168286,0.171797,0.186674,0.174923,0.152091,0.185575,0.169072,0.176955,0.182101,0.197956,0.163278,0.147556,0.189028,0.159057,0.175079,0.192636,0.16223,0.192558,0.20186,0.209533,0.201394,0.194673,0.193302,0.186483,0.150708,0.190795,0.194862,0.204942,0.25108,0.193604,0.216364,0.181139,0.207572,0.205734,0.213268,0.198017,0.198771,0.168991,0.177013,0.241414,0.204543,0.225292,0.216712,0.216368
8.5,0.193165,0.182143,0.218362,0.204244,0.255284,0.212308,0.223769,0.20705,0.208211,0.200964,0.139029,0.1286,0.198673,0.184977,0.148257,0.188506,0.204735,0.210401,0.12272,0.17667,0.202173,0.110379,0.187719,0.176981,0.136446,0.1886,0.192548,0.185825,0.186438,0.191814,0.184113,0.178748,0.198356,0.203744,0.20033,0.157658,0.209814,0.181082,0.17614,0.162167,0.168464,0.192471,0.205289,0.190163,0.203123,0.188429,0.170173,0.204114,0.182716,0.188134,0.165293,0.175121,0.176279,0.178452,0.193822,0.179545,0.154749,0.191075,0.172421,0.183064,0.193355,0.208042,0.171935,0.151795,0.197558,0.165405,0.182453,0.200335,0.168611,0.198444,0.205491,0.214371,0.219063,0.19936,0.20483,0.19678,0.156137,0.203129,0.204853,0.214001,0.263715,0.201759,0.223634,0.183985,0.216158,0.216595,0.231893,0.209296,0.206602,0.16709,0.183973,0.251452,0.213964,0.233536,0.224681,0.221279
9,0.201555,0.183525,0.225817,0.213224,0.269459,0.215837,0.232538,0.211119,0.212966,0.20606,0.139784,0.129975,0.201055,0.195377,0.156063,0.194287,0.210503,0.218534,0.123555,0.181939,0.209589,0.114684,0.195653,0.182346,0.133917,0.201055,0.204517,0.192885,0.19243,0.198008,0.189743,0.183892,0.203428,0.207108,0.208618,0.166013,0.215549,0.188495,0.185573,0.171786,0.176416,0.196325,0.211539,0.196697,0.199767,0.194476,0.175483,0.210519,0.189127,0.197658,0.171913,0.182705,0.182817,0.18437,0.200344,0.185002,0.158036,0.197009,0.176928,0.18866,0.202409,0.217573,0.17974,0.155815,0.20512,0.170846,0.189636,0.20696,0.173224,0.204001,0.210477,0.219619,0.234032,0.204083,0.21484,0.205879,0.161605,0.215527,0.213589,0.222121,0.276076,0.209466,0.231702,0.18714,0.22331,0.227226,0.250342,0.219666,0.212047,0.16607,0.189828,0.262427,0.223456,0.241043,0.233058,0.226063
9.5,0.202097,0.181713,0.225869,0.217794,0.275532,0.208458,0.232341,0.204792,0.207983,0.203594,0.136275,0.126402,0.198608,0.19959,0.161731,0.195654,0.210613,0.221537,0.120867,0.184052,0.213617,0.118461,0.197711,0.186654,0.136865,0.20613,0.213199,0.196609,0.19505,0.200118,0.193319,0.185583,0.205309,0.207313,0.212553,0.170244,0.218216,0.19213,0.19344,0.180331,0.182629,0.200278,0.213984,0.199523,0.193862,0.1965,0.176892,0.213676,0.192835,0.20576,0.178103,0.190897,0.188005,0.188423,0.204457,0.188766,0.160135,0.199835,0.178336,0.193146,0.206813,0.225136,0.186625,0.160143,0.210371,0.174576,0.195898,0.21125,0.179424,0.207561,0.211372,0.224441,0.244953,0.2074,0.223915,0.214684,0.166588,0.227492,0.221029,0.228081,0.287916,0.215325,0.236239,0.189541,0.231043,0.236069,0.268593,0.229133,0.214516,0.164422,0.195935,0.276331,0.232104,0.247687,0.238682,0.229086
10,0.206695,0.181323,0.22799,0.225562,0.287185,0.211277,0.23827,0.206728,0.211325,0.205805,0.136854,0.127177,0.197174,0.203345,0.169925,0.200452,0.214076,0.229222,0.12335,0.188971,0.21996,0.123474,0.203136,0.191531,0.140837,0.216229,0.221657,0.201112,0.199196,0.204924,0.199351,0.189866,0.209261,0.21027,0.219548,0.174491,0.221847,0.197698,0.200262,0.188896,0.189367,0.205237,0.219293,0.204927,0.18875,0.201348,0.18252,0.214437,0.198811,0.21401,0.18496,0.196824,0.193597,0.194564,0.210272,0.194349,0.163394,0.205661,0.182974,0.198378,0.212404,0.235928,0.194904,0.163964,0.216404,0.180137,0.203436,0.216725,0.186939,0.21292,0.215986,0.227421,0.25881,0.212036,0.236037,0.224806,0.17346,0.243549,0.231556,0.236271,0.302311,0.223126,0.243671,0.191854,0.238498,0.245547,0.288016,0.238493,0.215582,0.164249,0.201829,0.268954,0.242566,0.254565,0.245109,0.234142
10.5,0.210268,0.17976,0.231427,0.231742,0.296891,0.213577,0.245548,0.210535,0.218299,0.210985,0.138359,0.129102,0.198231,0.20562,0.177351,0.205058,0.217335,0.237926,0.126172,0.195348,0.227469,0.127936,0.208294,0.196059,0.149738,0.222109,0.229528,0.205298,0.202847,0.207739,0.205165,0.193943,0.21268,0.212556,0.227063,0.178152,0.225247,0.202673,0.205557,0.195984,0.195354,0.209421,0.224429,0.210017,0.184878,0.205738,0.187732,0.218312,0.202926,0.222052,0.192,0.203524,0.198102,0.200519,0.215925,0.198457,0.166307,0.210336,0.187603,0.203023,0.217057,0.246561,0.202645,0.168963,0.221808,0.184449,0.210444,0.22002,0.191095,0.216509,0.218584,0.229556,0.270425,0.21646,0.247458,0.23489,0.181643,0.262598,0.242463,0.243856,0.319171,0.23115,0.250403,0.193574,0.244135,0.253611,0.310117,0.247589,0.214231,0.163845,0.207745,0.285623,0.255062,0.261645,0.252334,0.240836
11,0.212476,0.177026,0.230573,0.239338,0.305449,0.211342,0.249299,0.210485,0.220885,0.21328,0.138105,0.127853,0.193626,0.206641,0.182667,0.208677,0.219124,0.245494,0.129579,0.199116,0.232759,0.131444,0.211605,0.200858,0.158779,0.228358,0.235302,0.209119,0.205042,0.209664,0.210407,0.196574,0.215349,0.21384,0.232891,0.181235,0.226683,0.205549,0.209268,0.202938,0.200501,0.212103,0.226788,0.212991,0.180694,0.20844,0.192196,0.219132,0.208218,0.228408,0.197451,0.208824,0.20253,0.204808,0.219361,0.201728,0.168773,0.21435,0.191894,0.208363,0.21929,0.25519,0.207857,0.172502,0.22602,0.187755,0.216746,0.22216,0.194204,0.22003,0.221588,0.23526,0.283909,0.220236,0.258065,0.244024,0.188613,0.281917,0.253473,0.25014,0.335506,0.238108,0.255928,0.195549,0.249359,0.261501,0.333267,0.256322,0.212707,0.164211,0.213298,0.303825,0.266245,0.269657,0.258504,0.243401
